collection;rayon;espece_fleur;nb_insecte;nb_espece_insecte;nb_famille_insecte;nb_ordre_insecte;log_nb_insecte;log_nb_espece_insecte;log_nb_famille_insecte;log_nb_ordre_insecte;UA_code_2018_simp;ville;part_dist_centre;bn;bd;bh;bc;bf;bam;bastd;bw;bhw;oso_1;oso_2;oso_3;oso_4;oso_5;oso_6;oso_7;oso_8;oso_9;oso_10;oso_12;oso_13;oso_14;oso_15;oso_16;oso_17;oso_18;oso_19;oso_20;oso_21;oso_23;OSO_F1;OSO_F2;OSO_F3;OSO_F4;log_p11100;log_p11210;log_p11220;log_p11230;log_p11240;log_p11300;log_p12100;log_p12220;log_p13400;log_p14100;log_p14200;log_p21000;log_p23000;log_p31000;log_p50000;UA_F1;UA_F2;UA_F3;UA_F4
12;500;Taraxacum_sp;1;1;0;0;0,301029996;0,301029996;0;0;11210;Rennes;0,326123775;589;0,088245338;0,494159135;0,816678222;0,05197018;154,7380609;196,3822202;0,445534187;1,109138534;0;0,405068787;0,175816;0,000128146;0,000128146;0,085601376;0;0;0;0,189399452;0;0,095596746;0,001025166;0,003459936;0,036777837;0,005125831;0,000128146;0,001025166;0;0;0;0,202;2,493;1,957;0,054;0;1,578654462;1,162985479;0;0;0;0;0,761056834;0;0,275878193;0;1,547616861;0,998395642;0;0;-0,198083584;1,099248819;-2,123528073;-1,231073349
33;500;Taraxacum_sp;1;1;0;0;0,301029996;0,301029996;0;0;11210;Rennes;0,326128146;587;0,08830552;0,494249603;0,816321792;0,052179155;155,11219;196,7243106;0,443295314;1,114944344;0;0,404171766;0,176200437;0,000128146;0,000128146;0,085857667;0;0;0;0,189527597;0;0,095981184;0,001025166;0,003588082;0,036649691;0,005125831;0,000128146;0,001025166;0;0;0;0,217;2,528;1,966;0,105;0;1,580513113;1,161802978;0;0;0;0;0,759617991;0;0,262472039;0;1,54840172;0,993558384;0;0;-0,200941322;1,096598398;-2,120281672;-1,240065094
1516;500;Taraxacum_sp;8;8;7;4;0,954242509;0,954242509;0,903089987;0,698970004;11220;Besancon;1,073150341;300;0,057942794;0,312657315;0,79390518;0,025990527;213,9352093;342,9048118;0,546500383;0,572108135;0;0,436464501;0,050104997;0;0,00576656;0,077143755;0;0;0;0;0;0,400583684;0;0;0,024603988;0,002050332;0,002050332;0;0,001281458;0;0;-0,712;0,579;0,332;-1,176;0;0,911636018;0,994177425;0;1,293137626;0;1,344790929;0,914840901;0,305168835;0;0,809879194;0,267715434;1,477556148;0;0;0,474346177;1,922159827;0,942435049;2,04837354
101;500;Taraxacum_sp;8;8;4;2;0,954242509;0,954242509;0,698970004;0,477121255;11210;Rennes;0,326157986;590;0,088554884;0,495853742;0,816759816;0,052341733;154,4711562;196,2483659;0,444118358;1,116490083;0;0,405453224;0,176584874;0,000128146;0,000128146;0,085601376;0;0;0;0,189015014;0;0,095596746;0,001025166;0,003459936;0,036649691;0,005125831;0,000128146;0,001025166;0;0;0;0,234;2,501;1,977;0,053;0;1,580730714;1,162903912;0;0;0;0;0,763059046;0;0,275337084;0;1,54638139;0,993884207;0;0;-0,187389552;1,102453696;-2,120792977;-1,236672251
112;500;Taraxacum_sp;1;1;1;1;0,301029996;0,301029996;0,301029996;0,301029996;12100;Rennes;0,056561975;555;0,085022173;0,671688421;0,653105783;0,043132395;249,7011598;327,1283404;0,638220893;1,052438785;0;0,417242635;0,305499521;0,006791726;0,004100665;0,004485102;0,001025166;0;0,004100665;0,000640729;0;0,141729224;0;0,000384437;0,045235458;0,060228513;0,003844373;0,000384437;0;0;0,003844373;0,518;0,351;-0,264;2,058;0;0,931990617;0;0;0;0;1,648959655;0,968145946;0;1,389208843;1,132169889;0;0;0;0,689952556;2,508994984;-1,815575172;0,93522411;-0,044250623
121;500;Taraxacum_sp;1;1;1;1;0,301029996;0,301029996;0,301029996;0,301029996;14100;Rennes;0,056412385;967;0,150686078;1,397034103;0,57471198;0,060552993;266,9430083;469,7144048;0,455884002;3,064450822;0,003972519;0,54590099;0,260007772;0,002050332;0,002819207;0;0,000128146;0;0,002178478;0,001409603;0;0,08214144;0;0,001025166;0,061894408;0,031908297;0,003972519;0,000384437;0;0;0;3,005;0,613;0,164;1,453;0;1,622905116;0;0;0;0;1,42200308;1,124986308;0;1,076519293;1,029754824;0;0;0;0;2,920876082;-0,612679207;0,315205163;-0,296219504
1603;500;Taraxacum_sp;2;2;2;1;0,477121255;0,477121255;0,477121255;0,301029996;11210;Besancon;0,161499059;777;0,083594061;0,4624853;0,66174764;0,052936388;138,4250732;112,7295081;0,496382099;0,931712285;0;0,70928685;0,01909372;0;0,000256292;0,009867224;0;0;0;0;0;0,125582857;0;0;0,126351732;0,008329475;0,00089702;0;0;0;0;0,271;0,939;1,790;-2,688;0,577538368;1,734784323;1,324676211;1,38897E-06;0,852253212;0;0;1,009943986;0,301445561;0,705297728;0;0;0;0,572966214;0;1,594039505;3,111173972;1,935843941;0,247050264
136;500;Taraxacum_sp;9;9;4;2;1;1;0,698970004;0,477121255;11210;Rennes;0,326092819;584;0,087999636;0,492463005;0,815807156;0,052148306;155,698666;197,2200634;0,444086049;1,108935995;0;0,403787329;0,175687854;0,000128146;0,000128146;0,086498396;0;0;0;0,190296472;0;0,095853038;0,001025166;0,003588082;0,036777837;0,005125831;0,000128146;0,001025166;0;0;0;0,202;2,515;1,946;0,115;0;1,578884826;1,161524637;0;0;0;0;0,756556318;0;0,259433086;0;1,549927447;0,997091562;0;0;-0,2164407;1,094390812;-2,127377493;-1,235573183
139;500;Taraxacum_sp;3;3;2;2;0,602059991;0,602059991;0,477121255;0,477121255;23000;Rennes;0,252107407;507;0,087290014;0,590940833;0,649748209;0,043238002;233,338264;357,8484055;0,496653918;1,189844301;0,000128146;0,345481002;0,203751778;0,001922187;0;0,092264956;0;0;0;0,001153312;0;0,182095143;0,000768875;0,000384437;0,129939813;0,03395863;0,000512583;0;0;0;0,007432455;1,303;1,014;-0,206;0,044;0;1,463903471;0;0;0;0;1,01793009;0,861691842;0;0,664737665;0;0,853996699;1,34626505;1,200877758;0,668936186;0,249657499;-1,055362663;-0,278474312;-0,016955846
168;500;Taraxacum_sp;4;2;2;2;0,698970004;0,477121255;0,477121255;0,477121255;14100;Rennes;0,071224236;857;0,194151922;2,127432216;0,567612038;0,03698093;481,4057564;813,5769264;0,502168223;4,236493107;0,005125831;0,537571515;0,369316116;0,011789411;0;0;0;0;0;0;0;0,03152386;0,000128146;0,000128146;0,024988426;0,01909372;0,000384437;0;0;0;0;4,528;0,065;-1,048;0,205;1,577764626;1,354844121;0;0;0;0;1,326411385;1,147235924;0;0,937522858;0;0;0;0;0;3,261384739;-1,149010645;-0,264116424;0,33062218
