collection;xcoord;ycoord
51928;882317.446443573;6568429.9174318
3605;351443.876231867;6794459.95593124
4061;351551.415067679;6800698.35106828
2359;774752.037090567;6343790.66504544
15852;928398.436162213;6655445.30185186
22733;822071.717421389;6402957.15061083
9814;758186.048783904;6502291.15375098
772;355639.059067889;6797388.52860981
772;355639.059067889;6797388.52860981
8973;356223.673851013;6694693.31604606
2748;920455.173935573;6692838.89620464
2817;931679.710801428;6589707.56409189
2914;938934.847315759;6562991.3054009
2943;830986.069201786;6394620.03722633
11813;774662.725899409;6343656.49985202
3201;544378.586676193;6435616.37736016
9659;355080.754769451;6790299.93904362
9659;355080.754769451;6790299.93904362
9660;355076.761960216;6790298.93692718
9660;355076.761960216;6790298.93692718
9660;355076.761960216;6790298.93692718
9660;355076.761960216;6790298.93692718
9660;355076.761960216;6790298.93692718
9904;351508.166288772;6800682.73114032
9904;351508.166288772;6800682.73114032
3585;366788.24714645;6891999.80776016
10340;350816.176869262;6791922.54517788
3813;544349.166704578;6435589.7219148
3822;793582.669928912;6422956.60749989
3980;827765.073630117;6552495.88748423
4050;351545.522930807;6800706.66131107
4107;347647.618195795;6801000.83995875
11435;355507.459614903;6797200.82390691
4534;654891.356508328;6853395.81890174
11699;255816.609915032;6870190.59607428
15721;353810.004155167;6804527.27773432
5242;350774.470259423;6800956.76250871
5304;851989.003706991;6523921.28869653
16382;352014.990838344;6801027.10207483
16452;349453.740509648;6797535.50820468
5581;542723.065508167;6508313.51503074
5642;1025219.14557555;6715512.26456323
5800;824167.284944029;6402599.51114262
5932;818494.196528026;6440713.43659834
44921;765284.925439311;6697391.69807634
21395;939389.321448533;6557800.59597011
46508;774663.899750165;6343652.80947656
15234;352167.130084543;6786911.46457931
15234;352167.130084543;6786911.46457931
15234;352167.130084543;6786911.46457931
15234;352167.130084543;6786911.46457931
15234;352167.130084543;6786911.46457931
15348;351785.994514781;6800130.56062576
51713;349497.408286334;6795005.9989259
51430;808475.51276833;6327349.32335023
51321;634555.859775069;6866647.77489906
51559;667148.408974024;6642647.50288984
8887;933345.827796351;6575555.94034342
51452;787432.784844752;6960614.6733263
51478;896583.644483053;6566439.6806227
15693;355156.768861532;6792817.26210943
51524;916029.874535039;6420303.41003632
51532;808480.554976876;6327356.26661822
51804;680531.036996923;6640867.28907644
51813;351858.473328004;6801006.35141704
51963;774661.722855805;6343655.95353822
52059;632555.530651444;6899468.50992491
15942;352021.797180873;6801047.72733228
58327;872610.174552726;6568873.19002217
58329;544383.016629716;6435556.847705
58406;506605.240486808;6434145.79251611
52288;882316.877825188;6568429.90040111
52323;882317.197240232;6568429.60053356
9713;931669.938690542;6589711.36431792
16434;350973.324282075;6800618.40885099
16434;350973.324282075;6800618.40885099
16434;350973.324282075;6800618.40885099
16434;350973.324282075;6800618.40885099
16434;350973.324282075;6800618.40885099
58474;649382.991696979;6856312.88800611
52786;774661.959122316;6343653.78376921
18937;351503.079998465;6800753.54579891
58882;619115.619227712;6881291.30232846
20286;351052.634399959;6800700.58475975
20286;351052.634399959;6800700.58475975
59332;1018004.62072078;6280458.47347195
55396;544354.896081648;6435556.70848048
59425;351721.215453582;6800935.7854323
59425;351721.215453582;6800935.7854323
59425;351721.215453582;6800935.7854323
21647;350738.723101413;6792283.410717
21715;332594.845309814;6776546.3319868
21809;355406.457032354;6792012.48893783
56528;458623.998283728;6805368.0097856
22330;351013.042699765;6800677.8941226
22402;350542.131007699;6800597.42990234
56851;652869.552469555;6681396.64075737
56881;944858.185861944;6563355.33918506
57261;1018019.33353415;6280428.92178772
57602;164836.44121006;6847338.1057321
57681;619934.957665432;6879676.84087428
57681;619934.957665432;6879676.84087428
4900;824171.190154013;6402601.70635242
58139;414762.68303481;6418000.64522239
58270;810184.021573765;6410930.65929071
58306;818847.464303259;6440749.43843137
58362;943952.419714649;6562050.37630007
58367;944193.388084303;6561810.80337579
58483;649835.448341795;6866503.27679947
58554;636797.595974847;6854887.36035794
58849;625044.859475378;6882843.64077536
58998;903835.385914478;6579441.89666352
59038;371531.738555415;6810021.44400615
59246;973830.437133435;6566349.00868664
59349;818851.607916027;6440664.69497797
59515;818929.166331195;6440905.06846639
57524;419691.115882133;6781979.05312422
8654;353502.512313846;6687930.14181173
8654;353502.512313846;6687930.14181173
22893;1042678.49994476;6325203.61110111
9015;650967.679827539;6675856.09174948
9985;1006271.14665067;6473211.28008895
10482;941958.767891117;6553929.44779981
10895;636440.783782471;6847952.52435074
12013;414863.74813825;6780733.21174925
12130;445086.814890626;6765793.74448165
170;352164.176906339;6786858.14244844
170;352164.176906339;6786858.14244844
170;352164.176906339;6786858.14244844
5837;813301.176193376;6325108.10191715
15211;418532.218545072;6416121.59611786
15567;931689.777918875;6589734.65763619
2372;352868.393674125;6789603.25188194
2888;770884.789193742;6349532.55590297
3102;934099.904631098;6575437.729817
3584;480436.334173706;6195369.08765813
3662;419872.066662344;6229150.22763669
3662;419872.066662344;6229150.22763669
3662;419872.066662344;6229150.22763669
3704;698569.54768491;6279965.02576795
3817;976678.39721669;6480647.44923644
3817;976678.39721669;6480647.44923644
3817;976678.39721669;6480647.44923644
3817;976678.39721669;6480647.44923644
3817;976678.39721669;6480647.44923644
16242;793005.485498177;6409380.08935884
14754;198850.134241198;6855741.29632862
9850;350800.296113859;6800961.18588666
3389;1181848.01157365;6108211.3778052
3399;351053.009438305;6800707.73733741
3484;818800.790685728;6440627.52079632
20489;352183.523229112;6787020.27044883
22469;934466.00620053;6730846.7771632
3700;644559.301197756;6235239.96537274
20826;920448.669103743;6694205.46525262
20971;352382.002270031;6790550.80132679
21135;686037.918940056;7038127.77806315
19692;351264.272604566;6795851.79332745
20026;350799.053925635;6802267.29375234
4046;939772.956649455;6564631.61936895
20087;352121.557359252;6786478.14882128
20087;352121.557359252;6786478.14882128
4027;900411.876861033;6585319.39447471
4091;351545.846411248;6800698.68248325
21582;897998.020529954;6275572.34350047
21667;544699.167521427;6435317.87597627
4167;778215.205661452;6340423.49464952
4365;818792.10918771;6440728.38479951
22851;350985.597279358;6800626.6459087
4942;824166.697893797;6402602.67597826
5080;881992.885247573;6568400.60763808
5481;818757.007959907;6441460.13224126
5548;824164.821559852;6402600.73282451
20266;822075.676678909;6402957.22790939
5656;619320.025937709;6881170.723263
5671;816787.874967074;6327378.98584194
5696;868986.318901695;6477817.01688729
5894;824166.822896902;6402607.12554767
5932;818494.196528026;6440713.43659834
6042;650949.138034438;6865428.255702
6061;774702.759738914;6343595.14393863
6098;912230.629812981;6483715.19736112
6238;560181.218192965;6190137.56723102
8356;936539.387559888;6576410.37277384
8356;936539.387559888;6576410.37277384
8356;936539.387559888;6576410.37277384
8356;936539.387559888;6576410.37277384
8356;936539.387559888;6576410.37277384
8356;936539.387559888;6576410.37277384
8356;936539.387559888;6576410.37277384
6930;590066.880319428;6178245.33910899
8356;936539.387559888;6576410.37277384
7066;661822.413090953;6863317.36053422
8567;652861.232205235;6681400.76795085
8887;933345.827796351;6575555.94034342
9039;901880.803857254;6576484.22769699
9415;544366.135729394;6435606.7261656
9415;544366.135729394;6435606.7261656
9415;544366.135729394;6435606.7261656
9572;818827.642091052;6440602.89687152
9623;652111.323165013;6683183.43258139
10184;921282.687550384;6578055.02790627
10246;941443.637914371;6558289.71361506
10895;636440.783782471;6847952.52435074
11639;546503.265361513;6433654.44561735
11639;546503.265361513;6433654.44561735
10353;691910.21472619;6717224.85900397
12128;970031.15664259;6455588.85160579
12704;558104.483890698;6212208.17848028
13708;940605.052923921;6550753.90214739
13708;940605.052923921;6550753.90214739
13708;940605.052923921;6550753.90214739
13861;934378.679620583;6576456.95925024
13986;932637.766081966;6574876.20901404
14022;647667.271938768;6861712.77428173
14022;647667.271938768;6861712.77428173
14022;647667.271938768;6861712.77428173
14369;416303.938888869;6782355.5201584
14425;544367.86306003;6435605.75711565
14425;544367.86306003;6435605.75711565
14425;544367.86306003;6435605.75711565
14591;1023705.60951689;6340361.11346885
14628;544335.868122377;6435587.11532119
14702;350917.814156623;6791519.11275887
14736;944889.224679956;6563397.88166821
